day,intraday,time_normalized,instantaneous_vol,date,realized_vol,RV_daily,RV_weekly,RV_monthly
175,0,0.0,2.4074854021568992e-05,2025-12-31,0.0030793395880199977,0.0030793395880199977,0.0030729138252412894,0.0037887497219566734
176,0,0.0,1e-05,2026-01-01,0.0038690148417627034,0.0038690148417627034,0.0029833909130516263,0.0037718011470578906
177,0,0.0,1.749856942975049e-05,2026-01-02,0.0025457443485835235,0.0025457443485835235,0.0031142717225205664,0.0037722336551664582
178,0,0.0,1.6604494760229265e-05,2026-01-05,0.004069709438359937,0.004069709438359937,0.0031601713313123302,0.0037228113495274646
179,0,0.0,2.1559309995086446e-05,2026-01-06,0.0038289374794809134,0.0038289374794809134,0.0034303551168111098,0.0037274330461530285
180,0,0.0,1.2069087724494067e-05,2026-01-07,0.003900346440490643,0.003900346440490643,0.0034785491392414153,0.00372705611546395
181,0,0.0,3.833046805397559e-05,2026-01-08,0.004053827954911983,0.004053827954911983,0.0036427505097355443,0.00368446588296322
182,0,0.0,3.845903096275291e-05,2026-01-09,0.0057039955251752825,0.0057039955251752825,0.0036797131323653997,0.003661878917437661
183,0,0.0,2.7287029054904602e-05,2026-01-12,0.006737169152792885,0.006737169152792885,0.004311363367683752,0.003678690955627213
184,0,0.0,2.1826629000809013e-05,2026-01-13,0.0069429031695165755,0.0069429031695165755,0.004844855310570341,0.0037648969250890438
185,0,0.0,2.5736329566407014e-05,2026-01-14,0.005988243263756196,0.005988243263756196,0.005467648448577474,0.003842113967474216
186,0,0.0,3.366783573820983e-05,2026-01-16,0.005387735897959277,0.005387735897959277,0.005885227813230584,0.0039531733382498204
187,0,0.0,1.2865618989883826e-05,2026-01-19,0.005038745138712894,0.005038745138712894,0.006152009401840043,0.004047346979471728
188,0,0.0,1.5766085023091274e-05,2026-01-20,0.005494478288780914,0.005494478288780914,0.006018959324547565,0.004101415959341761
189,0,0.0,6.231973159545355e-05,2026-01-21,0.009922338202704868,0.009922338202704868,0.0057704211517451715,0.004170104438455991
190,0,0.0,5.849019825074474e-05,2026-01-22,0.00750022450547806,0.00750022450547806,0.0063663081583828305,0.004438376538221889
191,0,0.0,2.58751960752376e-05,2026-01-23,0.0064392486018699496,0.0064392486018699496,0.006668704406727202,0.004632786527399572
192,0,0.0,2.4711582437278777e-05,2026-01-27,0.009381314802426892,0.009381314802426892,0.0068790069475093375,0.004812116862025594
193,0,0.0,1.919033700352076e-05,2026-01-28,0.005639793672215945,0.005639793672215945,0.007747520880252138,0.005078224164455528
194,0,0.0,2.7503722531304437e-05,2026-01-29,0.006570693687574957,0.006570693687574957,0.007776583956939143,0.005188459749809981
195,0,0.0,1.4552842763002185e-05,2026-01-30,0.00633777701079733,0.00633777701079733,0.007106255053913162,0.005381843721762264
196,0,0.0,4.523931884837601e-05,2026-02-02,0.00909248813118695,0.00909248813118695,0.006873765554977015,0.005546343108122778
197,0,0.0,3.4248440252016546e-05,2026-02-03,0.007353675344057685,0.007353675344057685,0.007404413460840415,0.005796548597389031
